question,answer
My payout is not yet transferred.,"Please ensure that you have shared your Bank account details with us. Visit 'My Profile' --> 'Banking Details'. Fill in the Bank details and verify. In case your bank account is not getting verified, please contact our support team for quick assistance."
How is the payout calculated?,Payout is calculated on the disbursed loan amount. For example if you give a personal loan lead with documents and a loan of 5 lacs get disbursed your payout will be 1.75% of 5 lacs i.e.  8750 GroMo Points
How is the payout transfered to me?,Payout is transferred to your account that you have provided to GroMo during the KYC process.
What are GroMo Points?,GroMo Points are rewards you earn on successful disbursal of Loan or dispatch of Credit Card.
What is the value of 1 GroMo Point?,1 GroMo Point is equivalent to ₹1
What is the Payout for Personal and Business Loans?,"For both Personal and Business Loans, payout is 1.8%, except HDFC, Bajaj, and IDFC bank. "
व्यक्तिगत और व्यवसायिक लोन का भुगतान क्या है?,"दोनों व्यक्तिगत और व्यवसायिक लोन का भुगतान 1.8% है, अलावा HDFC, Bajaj, और IDFC बैंक के"
GroMo पॉइंट क्या हैं?,GroMo पॉइंट्स पुरस्कार हैं जो आपको लोन के सफलता पे मिलते हैं
1 GroMo पॉइंट का मूल्य क्या है?,1 GroMo पॉइंट ₹1 के बराबर है
भुगतान कैसे जोड़ा जाता है?,"भुगतान लोन की रकम पे जोड़ा जाता है। उदाहरण के लिए - अगर आपकी लीड को 5 लाख का लोन मिला तो आपको 5 लाख का 1.8% GroMo पॉइंट्स मिलेंगे, मतलब 9000 GroMo पॉइंट्स "
मेरा भुगतान कैसे किया जाएगा?,आपका भुगतान लोन या क्रेडिट कार्ड होने के 15 दिन बाद आपके खाते में भेज दिया जाता है। आप ये ज़रूर सुनिश्चित करें की आपका खाता विवरण आपकी App में मौजूद है
मेरा भुगतान नहीं हुआ,सबसे पहले सुनिश्चित करें की आपका खाता विवरण आपकी App में है। प्रोफाइल के अंदर खाता विवरण पे जाएं और खाता जानकारी डालें। अगर आपका खाता वेरीफाई नहीं हुआ है तो हमारी सपोर्ट टीम से बात करें
Do we get commissions if a person’s address as on Aadhaar card address is in a non-serviceable area/pincode?,"No, he will not be eligible. Address on Aadhaar should be from a serviceable area."
Do we get commissions if the phone number used is different from the phone number linked with Aadhaar card?,"No, only the number linked with Aadhaar should be used, otherwise you wont earn commissions."
Can we open account for customer in same house but on different floors? ,"Yes, they will be eligible if floor number mentioned in Address proof."
What are the charges for getting cheque book?,"A Cheque Book can be applied through Net banking or can be issued from the nearest branch. Chargeable at Rs. 3 per cheque leaf (available on request). For 811 select customers- Nil Charges for 5 Cheque leaves per Qtr, thereafter chargeable@ Rs 3 per cheque leaf."
How can customers get a physical debit card?,Customer can request on the Kotak 811 app. Charges for physical debit card will be Rs. 199 plus GST Annually
Can customers get a credit card and what are the charges for the same?,"Yes, Credit cards can be applied through Net Banking or by visiting the branch. Charges on credit card varies from card to card"
"Is there any limit of online transactions for NEFT, RTGS, IMPS etc? ",There are no limits for NEFT and RTGS. If it is done through online medium then no charges will be levied
Can we open accounts at places where there is no Kotak branch?,"Yes, you can open a Kotak Lite account, but you will not be eligible for commission"
Can we open an account using our phone on behalf of the customer?,"No, you should avoid using your phone number to open Customer's account. You will not be eligible for commissions"
Can we open Joint Accounts?,"Yes, joint accounts can be opened but you will not be eligible for commissions on it"
Can we withdraw money using Virtual Debit Cards ?,"No, Virtual debit cards cannot be used for withdrawal of money"
Can we open an account without PAN Card?,"Yes, but you will not be eligible for the commissions. PAN is required during the account opening process"
Can we open more than 1 Account on the same address?,"Yes, more than 1 account can be opened with same address. Please ensure that other details such as Name, Phone Number etc. should be different"
If the customer journey breaks due to network error then how to proceed?,"If a customer's journey is broken, we recommend you to open the link once again and start the process. "
When will I get the payout?,You will get your payout 7-10 days after the customer has successfully opened the account and has completed their Digital KYC with Equitas Small Finance Bank.
What are the documents required during the onboarding journey?,PAN card & Adhaar card
What are the benefits of this product?,"Up to 7% interest on deposits, no account maintenance charges, no in-person KYC (Digital/Video KYC), no minimum account balance i.e. a zero balance savings account."
What is the minimum age required to open the account?,The minimum age of the customer should be 24 years
Does the customer need to have their mobile no registered with their Aadhaar card?,"Yes, the customer’s mobile number should be registered with their Aadhaar card."
Will I receive the payout if the customer has an existing relationship with Equitas Small Finance Bank?,"No, you will not receive the payout if the customer is already a customer of Equitas Small Finance Bank or NiyoX."
Will the customer have to pay any maintenance charges for the account?,"No, the customer will not have to pay any maintenance charges."
How do I open my customer's account?,Please watch the training video to understand in detail on how to open your customer's Paytm Money account. You will earn commission only when Paytm Money KYC and Stock Broking form is submitted followed by 1st trade minimum of ₹1000
Do we get commission on just opening Paytm money account?,No. You will get a commission only when customer funds their Paytm Money Demat account and perform 1st trade on the Paytm Money App within 30 days of account opening.
Do we get commissions if the phone number used is different from the phone number linked with the Aadhaar card?,"No, only the number linked with Aadhaar should be used, otherwise, you won't earn commissions."
Can we open an account using our phone on behalf of the customer?,"No, you should avoid using your phone number to open Customer's account. You will not be eligible for commissions"
Can we open an account without PAN Card?,"No, the customer will need a PAN card to open an account and only then you will be eligible for the commissions. PAN is required during the account opening process."
I have completed KYC and Submitted the Stock Opening Form. How much time will it take to open the account?,It usually takes 2-4 hours to confirm the Stock Opening details and get a confirmation from the repository for account opening.
If the customer journey breaks due to network error then how to proceed?,"If a customer's journey is broken, they can still continue to open the account at a later time, and you will get the commission for the customer. "
Can we open multiple Accounts at the same address and from the same phone?,"No, you should ideally not open multiple accounts on the same address. Multiple accounts might lead to issues with attribution at the discretion of Paytm."
How do I open my customer's account?,Please watch the training video to understand in detail on how to open your customer's Freecharge Paylater account. You will earn commission only when Freecharge Paylater account is activated.
Do we get commission on just installing Freecharge App ?,"No, you will not get a commission if the customer only installs the Freecharge App. Your customer will have to open their Paylater account on Freecharge."
Do we get commissions if the phone number used is different from the phone number linked with the Aadhaar card?,"No, only the number linked with Aadhaar should be used, otherwise, you won't earn commissions."
Are new to credit customers eligible (CIBIL score 0 or -1)?,"No, new to credit customers are not preferable for opening Freecharge paylater account"
Can we open an account using our phone on behalf of the customer?,"No, you should avoid using your phone number to open a Customer's account. You will not be eligible for commissions"
Can we open an account without PAN Card?,"No, the customer will need a PAN card to open an account and only then you will be eligible for the commissions. PAN is required during the account opening process"
If the customer journey breaks due to a network error then how to proceed?,"If a customer's journey is broken, they can still continue to open the account at a later time, and you will get the commission for the customer. "
Whom should we target for opening Freecharge Paylater?,An ideal customer is Male or Female over 25 years of age and earning over ₹4 Lakh income.
Can we open multiple Accounts at the same address and from the same phone?,"No, you should ideally not open multiple accounts on the same address. Multiple accounts might lead to issues with attribution at the discretion of Freecharge"
How do I open my customer's account?,Please watch the training video to understand in detail how to open your customer's Groww account. You will earn commission only when the Groww Demat account is opened.
The customer took 11 days to open the Groww Demat Account. Will I get the commission?,No. Customer must open Groww Demat account & do the first trade of minimum ₹250 within 7 days of account opening.
What is minimum trading required by customers for us to earn 1st trade commission?,"Customer can fund their wallet by as little as ₹250, and buy any small stock within the first 7 days of opening the Demat account. This will make you eligible for 1st trade commission."
Do we get commissions if the phone number used is different from the phone number linked with the Aadhaar card?,"No, only the number linked with Aadhaar should be used, otherwise, you won't earn commissions."
Can we open an account using our phone on behalf of the customer?,"No, you should avoid using your phone number to open a Customer's account. You will not be eligible for commissions"
Can we open an account without PAN Card?,"No, the customer will need a PAN card to open an account and only then you will be eligible for the commissions. PAN is required during the account opening process"
I have completed KYC and Submitted the Stock Opening Form. How much time will it take to open the account?,It usually takes 24-48 hours to confirm the Groww Demat account opening.
If the customer journey breaks due to a network error then how to proceed?,"If a customer's journey is broken, they can still continue to open the account at a later time, and you will get the commission for the customer. "
Whom should we target for opening Groww Demat Account?,An ideal customer is Male or Female over 25years of age and earning over 4Lakhs income
Can we open multiple Accounts at the same address and from the same phone?,"No, you should ideally not open multiple accounts on the same address. Multiple accounts might not lead to issues with attribution at the discretion of Groww"
How do I open my customer's account?,Please watch the training video to understand in detail how to open your customer's Jupiter Money Digital Bank account. You will earn commission only when your customer opens their account and makes a transaction of a minimum of ₹500 through their debit card  within 15 days of account opening. Transactions made from their virtual Debit card will also be considered for Payout 
Do we get commissions if the phone number used is different from the phone number linked with the Aadhaar card?,"No, only the number linked with Aadhaar should be used, otherwise, you won't earn commissions."
Can we open an account using our phone on behalf of the customer?,"No, you should avoid using your phone number to open a customer's account. You will not be eligible for commissions"
I have completed KYC and other account opening details. How much time will it take to open the account?,It usually takes a few hours for account opening.
If the customer journey breaks due to a network error then how to proceed?,"If a customer's journey is broken, they can still continue to open the account at a later time, and you will get the commission for the customer. "
Whom should we target for opening Jupiter Money Account?,"An ideal customer is Male or Female over 25years of age and earning over 5 Lakhs income, possibly in a metro or Tier-I city."
Can we open multiple Accounts at the same address and from the same phone?,"No, you should ideally not open multiple accounts on the same address. Multiple accounts might lead to issues with attribution at the discretion of Jupiter"
How do I open my customer's account?,"Please watch the training video to understand in detail how to open your customer's Axis Bank Saving account. You will earn commission only when Axis Saving Account KYC is done, and the customer has paid the initial funding amount of ₹5,590  to open the account."
Do we get commission on just opening Axis Bank Saving account?,"No, you will get a commission only when the customer pays ₹5,590 as the initial funding amount for opening the account. You will not be eligible for the payout if the funding is not done."
Which Axis saving account is to be opened to get commission?,You can open any of the Axis saving bank accounts. Different accounts have different initial funding and minimum balance requirements. Please refer to the Axis bank website before opening your customer's account.
